Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2019,Whatcom,WA,Passenger,903,450,1353,151148,152501,0.89
March 31 2023,Columbia,WA,Passenger,8,1,9,2409,2418,0.37
December 31 2019,Clark,NV,Passenger,4,2,6,704,710,0.85
June 30 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
September 30 2022,Eagle,CO,Passenger,1,0,1,7,8,12.50
December 31 2019,Monroe,IL,Passenger,1,0,1,3,4,25.00
October 31 2018,San Diego,CA,Passenger,9,3,12,2570,2582,0.46
January 31 2020,Thurston,WA,Passenger,1093,718,1811,199133,200944,0.90
May 31 2018,Skamania,WA,Passenger,12,9,21,8700,8721,0.24
December 31 2017,Dale,AL,Passenger,0,1,1,63,64,1.56
July 31 2020,Tarrant,TX,Passenger,1,0,1,179,180,0.56
May 31 2018,District of Columbia,DC,Passenger,0,3,3,192,195,1.54
June 30 2021,Broward,FL,Passenger,2,0,2,112,114,1.75
December 31 2021,Columbia,WA,Truck,0,0,0,1554,1554,0.00
August 31 2023,Clark,WA,Passenger,6366,2458,8824,313543,322367,2.74
January 31 2019,Snohomish,WA,Passenger,3075,1488,4563,528153,532716,0.86
January 31 2024,Honolulu,HI,Passenger,4,2,6,245,251,2.39
March 31 2017,Orange,CA,Passenger,2,1,3,668,671,0.45
November 30 2021,Columbia,OR,Passenger,1,0,1,23,24,4.17
January 31 2022,Cowlitz,WA,Truck,0,1,1,28899,28900,0.00
August 31 2017,Columbia,WA,Truck,0,0,0,1542,1542,0.00
April 30 2022,Mason,WA,Passenger,292,176,468,47468,47936,0.98
August 31 2023,Douglas,CO,Passenger,0,2,2,59,61,3.28
July 31 2020,Ramsey,MN,Passenger,1,0,1,41,42,2.38
November 30 2022,Anne Arundel,MD,Passenger,3,3,6,317,323,1.86
June 30 2019,Contra Costa,CA,Passenger,2,2,4,379,383,1.04
September 30 2022,San Juan,WA,Truck,6,0,6,5950,5956,0.10
August 31 2021,Chelan,WA,Truck,0,0,0,23075,23075,0.00
September 30 2017,Mason,WA,Truck,0,0,0,19369,19369,0.00
December 31 2021,Wake,NC,Passenger,1,0,1,127,128,0.78
March 31 2020,Moore,NC,Passenger,0,1,1,165,166,0.60
September 30 2021,Sumter,SC,Passenger,0,1,1,34,35,2.86
April 30 2020,Clackamas,OR,Passenger,2,0,2,206,208,0.96
March 31 2020,Juneau,AK,Passenger,0,2,2,33,35,5.71
August 31 2022,Boulder,CO,Passenger,2,0,2,45,47,4.26
February 28 2019,Cowlitz,WA,Passenger,82,100,182,72432,72614,0.25
June 30 2019,Pima,AZ,Passenger,0,1,1,418,419,0.24
November 30 2019,Loudoun,VA,Passenger,1,0,1,97,98,1.02
July 31 2019,Montgomery,TX,Passenger,1,0,1,63,64,1.56
April 30 2019,Okanogan,WA,Passenger,20,22,42,26010,26052,0.16
April 30 2023,Escambia,FL,Passenger,0,1,1,136,137,0.73
June 30 2017,Arlington,VA,Passenger,1,1,2,172,174,1.15
August 31 2019,,,Passenger,6,2,8,422,430,1.86
May 31 2022,Hudson,NJ,Passenger,2,0,2,37,39,5.13
May 31 2024,Pulaski,AR,Passenger,2,0,2,15,17,11.76
February 28 2022,Eagle,CO,Passenger,1,0,1,6,7,14.29
December 31 2019,Spokane,WA,Passenger,642,471,1113,314944,316057,0.35
November 30 2017,Utah,UT,Passenger,0,1,1,146,147,0.68
June 30 2018,Ferry,WA,Truck,0,0,0,3511,3511,0.00
December 31 2022,Cook,IL,Passenger,3,0,3,185,188,1.60
December 31 2023,Santa Clara,CA,Passenger,13,2,15,154,169,8.88
December 31 2023,San Mateo,CA,Passenger,2,0,2,54,56,3.57
May 31 2020,Lake,FL,Passenger,1,0,1,24,25,4.00
September 30 2021,Santa Cruz,CA,Passenger,1,0,1,31,32,3.12
June 30 2022,Fredericksburg,VA,Passenger,1,0,1,7,8,12.50
February 28 2022,Powhatan,VA,Passenger,1,0,1,1,2,50.00
July 31 2019,Island,WA,Passenger,327,244,571,63440,64011,0.89
March 31 2022,Hudson,NJ,Passenger,2,0,2,38,40,5.00
July 31 2023,Kings,CA,Passenger,3,2,5,279,284,1.76
January 31 2023,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
November 30 2019,Putnam,TN,Passenger,0,1,1,3,4,25.00
July 31 2017,Okanogan,WA,Passenger,4,18,22,25625,25647,0.09
June 30 2019,Sedgwick,KS,Passenger,1,1,2,104,106,1.89
June 30 2018,Nassau,NY,Passenger,2,0,2,40,42,4.76
August 31 2019,Penobscot,ME,Passenger,0,1,1,14,15,6.67
August 31 2023,Franklin,WA,Truck,6,0,6,20902,20908,0.03
May 31 2017,Cumberland,NC,Passenger,1,0,1,602,603,0.17
July 31 2018,Hardin,KY,Passenger,0,1,1,116,117,0.85
January 31 2022,Hanover,VA,Passenger,1,0,1,1,2,50.00
May 31 2019,Kittitas,WA,Passenger,72,35,107,29560,29667,0.36
September 30 2022,Bexar,TX,Passenger,4,3,7,458,465,1.51
November 30 2020,Kittitas,WA,Truck,0,0,0,14646,14646,0.00
March 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
December 31 2020,Stevens,WA,Passenger,37,40,77,30210,30287,0.25
January 31 2020,Columbia,WA,Passenger,3,3,6,2448,2454,0.24
May 31 2021,Virginia Beach,VA,Passenger,2,0,2,630,632,0.32
November 30 2020,Douglas,NE,Passenger,0,1,1,52,53,1.89
April 30 2020,Randolph,NC,Passenger,1,0,1,8,9,11.11
September 30 2019,Chelan,WA,Passenger,174,71,245,54505,54750,0.45
December 31 2021,Okaloosa,FL,Passenger,0,1,1,118,119,0.84
April 30 2017,Fulton,GA,Passenger,1,1,2,121,123,1.63
April 30 2020,Moore,NC,Passenger,0,1,1,164,165,0.61
June 30 2023,Hudson,NJ,Passenger,1,0,1,18,19,5.26
September 30 2018,Houston,GA,Passenger,1,0,1,56,57,1.75
June 30 2021,Clinton,PA,Passenger,1,0,1,0,1,100.00
November 30 2020,Pend Oreille,WA,Truck,0,0,0,5717,5717,0.00
February 29 2020,Randolph,NC,Passenger,1,0,1,7,8,12.50
February 28 2023,Platte,MO,Passenger,1,0,1,20,21,4.76
March 31 2018,Kittitas,WA,Passenger,41,30,71,28743,28814,0.25
April 30 2018,Skamania,WA,Passenger,12,8,20,8701,8721,0.23
October 31 2019,Fresno,CA,Passenger,1,0,1,205,206,0.49
November 30 2023,Benton,WA,Truck,35,0,35,43043,43078,0.08
May 31 2023,Newport,RI,Passenger,0,1,1,58,59,1.69
March 31 2024,Wichita,TX,Passenger,2,0,2,31,33,6.06
January 31 2019,Clallam,WA,Truck,0,0,0,21630,21630,0.00
October 31 2017,Deschutes,OR,Passenger,1,0,1,193,194,0.52
April 30 2023,Kern,CA,Passenger,1,1,2,189,191,1.05
August 31 2018,Walla Walla,WA,Truck,0,0,0,13500,13500,0.00
January 31 2023,Frederick,MD,Passenger,1,0,1,62,63,1.59
December 31 2018,Skamania,WA,Passenger,16,13,29,8725,8754,0.33
August 31 2017,Walla Walla,WA,Truck,0,0,0,13189,13189,0.00
March 31 2023,Albemarle,VA,Passenger,2,0,2,17,19,10.53
August 31 2019,Portsmouth,VA,Passenger,0,1,1,77,78,1.28
February 28 2023,Yakima,WA,Passenger,443,250,693,166106,166799,0.42
November 30 2017,Pend Oreille,WA,Passenger,3,4,7,9430,9437,0.07
September 30 2021,San Diego,CA,Passenger,18,6,24,2594,2618,0.92
March 31 2022,Ventura,CA,Passenger,2,3,5,257,262,1.91
October 31 2021,Asotin,WA,Passenger,21,17,38,12750,12788,0.30
February 29 2024,Anchorage,AK,Passenger,1,0,1,85,86,1.16
January 31 2024,Skagit,WA,Passenger,1370,495,1865,88449,90314,2.07
February 28 2023,Kitsap,WA,Passenger,2891,1172,4063,176346,180409,2.25
September 30 2021,Hillsborough,FL,Passenger,0,2,2,156,158,1.27
March 31 2020,San Juan,WA,Truck,0,0,0,5930,5930,0.00
February 29 2024,Spotsylvania,VA,Passenger,0,1,1,22,23,4.35
November 30 2021,Fort Bend,TX,Passenger,1,0,1,35,36,2.78
December 31 2022,Frederick,MD,Passenger,1,0,1,64,65,1.54
September 30 2020,Pierce,WA,Truck,0,0,0,143924,143924,0.00
July 31 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
November 30 2022,Deschutes,OR,Passenger,2,0,2,87,89,2.25
February 28 2023,Coryell,TX,Passenger,1,0,1,87,88,1.14
August 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
November 30 2023,Providence,RI,Passenger,1,0,1,19,20,5.00
April 30 2017,Clallam,WA,Passenger,80,68,148,48126,48274,0.31
June 30 2021,Kings,CA,Passenger,1,0,1,326,327,0.31
August 31 2019,Stafford,VA,Passenger,1,1,2,103,105,1.90
July 31 2023,DuPage,IL,Passenger,2,1,3,34,37,8.11
October 31 2021,Rockingham,NH,Passenger,1,0,1,20,21,4.76
July 31 2020,Kootenai,ID,Passenger,1,1,2,217,219,0.91
September 30 2020,Snohomish,WA,Passenger,4696,1806,6502,537033,543535,1.20
February 28 2018,Riverside,CA,Passenger,2,2,4,729,733,0.55
April 30 2022,St. Clair,IL,Passenger,1,0,1,126,127,0.79
January 31 2024,District of Columbia,DC,Passenger,3,0,3,141,144,2.08
May 31 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
February 28 2023,Leavenworth,KS,Passenger,0,1,1,87,88,1.14
March 31 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
September 30 2021,Baltimore,MD,Passenger,1,0,1,100,101,0.99
January 31 2024,Washtenaw,MI,Passenger,0,2,2,15,17,11.76
August 31 2020,Hennepin,MN,Passenger,3,0,3,94,97,3.09
December 31 2019,Dallas,TX,Passenger,1,0,1,212,213,0.47
November 30 2020,Virginia Beach,VA,Passenger,1,0,1,649,650,0.15
January 31 2022,Camden,NJ,Passenger,0,1,1,13,14,7.14
August 31 2021,Hawaii,HI,Passenger,1,0,1,49,50,2.00
September 30 2023,Fairfax,VA,Passenger,7,3,10,556,566,1.77
June 30 2021,Prince George's,MD,Passenger,2,1,3,150,153,1.96
July 31 2023,Houston,GA,Passenger,1,0,1,32,33,3.03
August 31 2022,Hawaii,HI,Passenger,1,0,1,37,38,2.63
April 30 2019,Skagit,WA,Passenger,293,197,490,91531,92021,0.53
May 31 2021,Douglas,CO,Passenger,0,1,1,82,83,1.20
December 31 2022,Kings,CA,Passenger,2,1,3,296,299,1.00
June 30 2023,Placer,CA,Passenger,1,0,1,66,67,1.49
October 31 2023,Washtenaw,MI,Passenger,0,2,2,16,18,11.11
April 30 2022,Collier,FL,Passenger,1,0,1,21,22,4.55
August 31 2018,Lincoln,WA,Passenger,3,6,9,7749,7758,0.12
July 31 2018,Riverside,CA,Passenger,2,2,4,702,706,0.57
June 30 2018,Sedgwick,KS,Passenger,0,1,1,100,101,0.99
April 30 2020,Cochise,AZ,Passenger,0,1,1,104,105,0.95
November 30 2023,Pulaski,MO,Passenger,2,0,2,92,94,2.13
October 31 2021,Providence,RI,Passenger,1,0,1,24,25,4.00
January 31 2022,Bexar,TX,Passenger,2,4,6,521,527,1.14
October 31 2018,Prince William,VA,Passenger,0,5,5,256,261,1.92
July 31 2022,Hillsborough,FL,Passenger,1,2,3,131,134,2.24
September 30 2023,New York,NY,Passenger,1,0,1,35,36,2.78
February 28 2021,Tulsa,OK,Passenger,1,1,2,48,50,4.00
April 30 2022,Burlington,NJ,Passenger,0,2,2,109,111,1.80
February 29 2024,Berkeley,SC,Passenger,2,1,3,83,86,3.49
May 31 2021,Franklin,WA,Passenger,117,95,212,61930,62142,0.34
May 31 2020,Whitman,WA,Truck,0,0,0,8514,8514,0.00
July 31 2022,Ada,ID,Passenger,1,0,1,182,183,0.55
August 31 2019,Pacific,WA,Truck,0,0,0,7676,7676,0.00
October 31 2023,Rock Island,IL,Passenger,0,1,1,12,13,7.69
June 30 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
January 31 2024,Grays Harbor,WA,Passenger,386,224,610,47941,48551,1.26
April 30 2024,Cowlitz,WA,Passenger,669,278,947,68419,69366,1.37
September 30 2023,Autauga,AL,Passenger,2,0,2,10,12,16.67
August 31 2018,Pierce,WA,Passenger,1303,1224,2527,534711,537238,0.47
October 31 2023,Lincoln,WA,Passenger,21,24,45,7600,7645,0.59
January 31 2023,Wayne,MI,Passenger,0,1,1,36,37,2.70
May 31 2021,Allegheny,PA,Passenger,2,1,3,77,80,3.75
April 30 2022,Island,WA,Passenger,778,367,1145,62005,63150,1.81
December 31 2021,Whitman,WA,Passenger,67,59,126,21931,22057,0.57
September 30 2023,Boulder,CO,Passenger,2,0,2,30,32,6.25
June 30 2023,Rockingham,NH,Passenger,1,0,1,13,14,7.14
March 31 2024,Contra Costa,CA,Passenger,2,2,4,132,136,2.94
December 31 2022,Tooele,UT,Passenger,1,0,1,8,9,11.11
December 31 2021,Spokane,WA,Passenger,1307,758,2065,326985,329050,0.63
February 28 2021,Arapahoe,CO,Passenger,1,0,1,129,130,0.77
January 31 2021,Nassau,FL,Passenger,1,0,1,33,34,2.94
February 29 2024,Fairfax,VA,Passenger,8,6,14,516,530,2.64
August 31 2018,District of Columbia,DC,Passenger,0,3,3,194,197,1.52
September 30 2022,Isle of Wight,VA,Passenger,0,1,1,18,19,5.26
September 30 2023,Pima,AZ,Passenger,1,0,1,183,184,0.54
September 30 2020,Flathead,MT,Passenger,2,0,2,62,64,3.12
January 31 2023,Henrico,VA,Passenger,0,1,1,10,11,9.09
April 30 2021,Milwaukee,WI,Passenger,1,0,1,43,44,2.27
March 31 2019,Sacramento,CA,Passenger,0,1,1,305,306,0.33
September 30 2022,Dorchester,SC,Passenger,1,0,1,61,62,1.61
November 30 2020,New Haven,CT,Passenger,0,2,2,35,37,5.41
May 31 2020,Garfield,WA,Passenger,0,1,1,1346,1347,0.07
November 30 2020,Snohomish,WA,Truck,0,0,0,125442,125442,0.00
May 31 2018,Pend Oreille,WA,Truck,0,0,0,5674,5674,0.00
July 31 2017,Wayne,MI,Passenger,0,1,1,72,73,1.37
September 30 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
May 31 2019,Jefferson,NY,Passenger,0,1,1,222,223,0.45
July 31 2023,Columbia,WA,Truck,0,0,0,1547,1547,0.00
August 31 2018,Ramsey,MN,Passenger,1,0,1,42,43,2.33
April 30 2018,Northampton,PA,Passenger,0,1,1,64,65,1.54
February 29 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
November 30 2021,Hanover,VA,Passenger,1,0,1,1,2,50.00
May 31 2018,Pierce,WA,Passenger,1185,1125,2310,530350,532660,0.43
September 30 2021,Spokane,WA,Passenger,1187,703,1890,325871,327761,0.58
May 31 2017,Los Angeles,CA,Passenger,2,1,3,1347,1350,0.22
July 31 2019,St. Clair,IL,Passenger,0,1,1,162,163,0.61
July 31 2023,Mason,WA,Truck,13,0,13,20619,20632,0.06
January 31 2023,Lake,IL,Passenger,1,0,1,132,133,0.75
July 31 2020,Collin,TX,Passenger,2,1,3,135,138,2.17
March 31 2022,Loudoun,VA,Passenger,1,1,2,69,71,2.82
December 31 2023,Orange,FL,Passenger,1,0,1,47,48,2.08
September 30 2018,Camden,NJ,Passenger,0,1,1,27,28,3.57
September 30 2023,Prince William,VA,Passenger,1,4,5,156,161,3.11
January 31 2022,Kings,CA,Passenger,2,1,3,328,331,0.91
January 31 2017,Howard,MD,Passenger,0,2,2,92,94,2.13
October 31 2021,Gwinnett,GA,Passenger,1,0,1,63,64,1.56
April 30 2023,Muscogee,GA,Passenger,0,1,1,101,102,0.98
January 31 2020,Suffolk,VA,Passenger,1,0,1,125,126,0.79
December 31 2022,Douglas,NE,Passenger,2,1,3,34,37,8.11
August 31 2020,Suffolk,MA,Passenger,0,2,2,38,40,5.00
December 31 2017,Volusia,FL,Passenger,0,1,1,40,41,2.44
September 30 2018,Kitsap,WA,Passenger,842,499,1341,179419,180760,0.74
March 31 2023,Skamania,WA,Passenger,96,54,150,8112,8262,1.82
June 30 2020,District of Columbia,DC,Passenger,1,1,2,202,204,0.98
February 28 2019,Contra Costa,CA,Passenger,1,2,3,386,389,0.77
May 31 2024,Cochise,AZ,Passenger,1,0,1,45,46,2.17
August 31 2022,Clark,WA,Truck,17,0,17,82317,82334,0.02
November 30 2022,Hillsborough,FL,Passenger,1,2,3,129,132,2.27
October 31 2023,Allegheny,PA,Passenger,1,0,1,57,58,1.72
April 30 2024,Wake,NC,Passenger,3,0,3,63,66,4.55
October 31 2023,Grant,WA,Truck,12,0,12,28082,28094,0.04
September 30 2022,Cass,MN,Passenger,0,1,1,3,4,25.00
January 31 2019,Chelan,WA,Passenger,140,64,204,54204,54408,0.37
April 30 2024,Plaquemines,LA,Passenger,1,1,2,17,19,10.53
January 31 2023,Allen,IN,Passenger,1,0,1,18,19,5.26
November 30 2020,Putnam,TN,Passenger,0,1,1,3,4,25.00
May 31 2021,Rockingham,NH,Passenger,1,0,1,23,24,4.17
July 31 2020,Pinellas,FL,Passenger,1,1,2,116,118,1.69
September 30 2022,San Diego,CA,Passenger,22,8,30,2380,2410,1.24
August 31 2018,Kitsap,WA,Truck,1,0,1,53439,53440,0.00
August 31 2018,Kittitas,WA,Truck,0,0,0,14117,14117,0.00
April 30 2024,El Dorado,CA,Passenger,1,0,1,14,15,6.67
August 31 2018,Dallas,TX,Passenger,0,1,1,205,206,0.49
December 31 2023,Wichita,TX,Passenger,2,0,2,32,34,5.88
October 31 2023,Kings,NY,Passenger,2,0,2,38,40,5.00
February 28 2021,Bradley,TN,Passenger,1,0,1,0,1,100.00
April 30 2024,Walla Walla,WA,Passenger,280,148,428,34795,35223,1.22
October 31 2023,Asotin,WA,Truck,0,0,0,6634,6634,0.00
February 28 2018,Wahkiakum,WA,Truck,0,0,0,1673,1673,0.00
August 31 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
May 31 2021,Hamilton,IN,Passenger,2,0,2,37,39,5.13
January 31 2024,Stevens,WA,Passenger,145,75,220,29492,29712,0.74
January 31 2018,Pend Oreille,WA,Passenger,4,4,8,9442,9450,0.08
May 31 2017,Virginia Beach,VA,Passenger,2,1,3,651,654,0.46
April 30 2023,Santa Cruz,CA,Passenger,1,0,1,23,24,4.17
October 31 2018,Montgomery,TX,Passenger,2,0,2,65,67,2.99
April 30 2021,Tarrant,TX,Passenger,1,0,1,166,167,0.60
August 31 2019,Prince George's,MD,Passenger,1,1,2,180,182,1.10
May 31 2022,Philadelphia,PA,Passenger,1,0,1,41,42,2.38
July 31 2022,Bartow,GA,Passenger,0,1,1,5,6,16.67
September 30 2022,Yellowstone,MT,Passenger,0,1,1,20,21,4.76
July 31 2022,Allen,IN,Passenger,1,0,1,19,20,5.00
May 31 2022,Gwinnett,GA,Passenger,1,0,1,55,56,1.79
July 31 2022,Pacific,WA,Passenger,64,71,135,15811,15946,0.85
February 29 2020,Wahkiakum,WA,Passenger,5,5,10,3018,3028,0.33
January 31 2018,Hawaii,HI,Passenger,1,0,1,83,84,1.19
February 28 2023,Lake,FL,Passenger,1,0,1,18,19,5.26
March 31 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
October 31 2020,Maricopa,AZ,Passenger,5,9,14,1455,1469,0.95
January 31 2022,Maui,HI,Passenger,1,0,1,29,30,3.33
January 31 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
September 30 2021,Henrico,VA,Passenger,0,1,1,14,15,6.67
May 31 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
April 30 2018,Skagit,WA,Truck,1,0,1,31976,31977,0.00
June 30 2023,Grant,WA,Truck,11,0,11,28097,28108,0.04
February 28 2017,,,Passenger,2,0,2,467,469,0.43
January 31 2017,Tulare,CA,Passenger,1,0,1,204,205,0.49
May 31 2023,Albemarle,VA,Passenger,2,0,2,16,18,11.11
September 30 2020,Pinellas,FL,Passenger,1,1,2,111,113,1.77
August 31 2018,Broward,FL,Passenger,1,1,2,135,137,1.46
May 31 2023,Travis,TX,Passenger,3,1,4,98,102,3.92
July 31 2021,Nassau,NY,Passenger,3,0,3,35,38,7.89
October 31 2021,Mercer,NJ,Passenger,0,1,1,11,12,8.33
April 30 2022,Palm Beach,FL,Passenger,0,1,1,57,58,1.72
August 31 2021,Pierce,WA,Passenger,3773,2027,5800,558471,564271,1.03
June 30 2022,Currituck,NC,Passenger,1,0,1,23,24,4.17
February 28 2022,Montgomery,TX,Passenger,1,0,1,39,40,2.50
October 31 2022,Williams,ND,Passenger,0,1,1,6,7,14.29
July 31 2017,Clallam,WA,Passenger,93,77,170,48420,48590,0.35
April 30 2020,Skagit,WA,Truck,1,0,1,32379,32380,0.00
November 30 2022,Harnett,NC,Passenger,2,0,2,157,159,1.26
July 31 2018,Frederick,MD,Passenger,0,1,1,86,87,1.15
September 30 2020,St. Mary's,MD,Passenger,1,0,1,216,217,0.46
January 31 2020,Charleston,SC,Passenger,1,0,1,112,113,0.88
December 31 2022,Brown,WI,Passenger,1,0,1,8,9,11.11
March 31 2019,Island,WA,Truck,0,0,0,21177,21177,0.00
December 31 2018,Maricopa,AZ,Passenger,2,3,5,1620,1625,0.31
January 31 2019,Kalamazoo,MI,Passenger,1,0,1,16,17,5.88
October 31 2020,Greene,MO,Passenger,0,1,1,37,38,2.63
November 30 2022,Ray,MO,Passenger,0,1,1,1,2,50.00
September 30 2019,Grant,WA,Passenger,48,63,111,65161,65272,0.17
June 30 2021,Klamath,OR,Passenger,1,0,1,33,34,2.94
August 31 2023,Columbia,WA,Truck,0,0,0,1553,1553,0.00
February 28 2023,Escambia,FL,Passenger,0,1,1,140,141,0.71
October 31 2018,San Juan,PR,Passenger,0,1,1,4,5,20.00
October 31 2021,Plaquemines,LA,Passenger,0,1,1,20,21,4.76
April 30 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
March 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
December 31 2017,Contra Costa,CA,Passenger,0,1,1,460,461,0.22
February 28 2022,Jefferson,WA,Truck,0,0,0,9576,9576,0.00
February 28 2022,St. Louis,MO,Passenger,2,0,2,78,80,2.50
February 28 2023,Dallas,TX,Passenger,1,0,1,91,92,1.09
January 31 2024,Middlesex,MA,Passenger,2,0,2,71,73,2.74
February 28 2023,York,VA,Passenger,1,0,1,72,73,1.37
March 31 2017,Hawaii,HI,Passenger,1,0,1,90,91,1.10
April 30 2023,Snohomish,WA,Truck,144,0,144,121725,121869,0.12
September 30 2018,Marion,OR,Passenger,1,0,1,127,128,0.78
August 31 2019,Douglas,NE,Passenger,0,1,1,61,62,1.61
May 31 2023,Hillsborough,FL,Passenger,1,2,3,115,118,2.54
February 28 2019,Washtenaw,MI,Passenger,1,0,1,37,38,2.63
October 31 2017,Douglas,WA,Passenger,36,32,68,26968,27036,0.25
March 31 2021,Collin,TX,Passenger,2,1,3,129,132,2.27
November 30 2020,Sarasota,FL,Passenger,2,0,2,37,39,5.13
October 31 2021,Carroll,MD,Passenger,0,1,1,17,18,5.56
June 30 2022,Hamilton,IN,Passenger,1,0,1,26,27,3.70
May 31 2024,Platte,MO,Passenger,2,0,2,16,18,11.11
November 30 2021,Stevens,WA,Truck,0,0,0,18905,18905,0.00
March 31 2023,Sonoma,CA,Passenger,3,1,4,69,73,5.48
September 30 2019,Harris,TX,Passenger,1,1,2,278,280,0.71
April 30 2024,Calvert,MD,Passenger,1,1,2,66,68,2.94
October 31 2023,Mercer,NJ,Passenger,0,1,1,7,8,12.50
April 30 2022,Hennepin,MN,Passenger,3,0,3,66,69,4.35
October 31 2022,Penobscot,ME,Passenger,0,1,1,9,10,10.00
November 30 2022,Essex,MA,Passenger,2,0,2,16,18,11.11
March 31 2019,Monroe,IL,Passenger,1,0,1,3,4,25.00
May 31 2018,Jefferson,WA,Passenger,138,91,229,24386,24615,0.93
March 31 2022,Miami-Dade,FL,Passenger,1,0,1,92,93,1.08
June 30 2023,Beaufort,SC,Passenger,1,0,1,31,32,3.12
July 31 2021,Collin,TX,Passenger,2,1,3,120,123,2.44
January 31 2023,Providence,RI,Passenger,1,0,1,19,20,5.00
October 31 2022,Cass,MN,Passenger,0,1,1,2,3,33.33
May 31 2023,Alexandria,VA,Passenger,3,0,3,93,96,3.12
December 31 2023,Middlesex,MA,Passenger,2,0,2,73,75,2.67
February 28 2018,Madison,ID,Passenger,1,0,1,39,40,2.50
December 31 2018,Whitman,WA,Truck,0,0,0,8546,8546,0.00
February 28 2017,Chelan,WA,Truck,0,0,0,21248,21248,0.00
November 30 2017,Skamania,WA,Truck,0,0,0,3893,3893,0.00
March 31 2017,,,Passenger,2,0,2,462,464,0.43
March 31 2023,Gwinnett,GA,Passenger,1,0,1,51,52,1.92
March 31 2021,Albemarle,VA,Passenger,1,0,1,24,25,4.00
October 31 2020,Hampshire,MA,Passenger,1,0,1,10,11,9.09
November 30 2021,Howard,IN,Passenger,0,1,1,6,7,14.29
April 30 2023,Clark,WA,Passenger,5459,2232,7691,313456,321147,2.39
September 30 2018,Grays Harbor,WA,Passenger,55,65,120,47159,47279,0.25
December 31 2020,Asotin,WA,Passenger,16,13,29,12400,12429,0.23
December 31 2021,Riverside,CA,Passenger,5,1,6,527,533,1.13
March 31 2022,Bell,TX,Passenger,1,0,1,344,345,0.29
November 30 2022,Island,WA,Truck,15,0,15,21206,21221,0.07
July 31 2023,Charles,MD,Passenger,1,1,2,52,54,3.70
November 30 2021,Las Animas,CO,Passenger,1,0,1,0,1,100.00
February 28 2019,Kitsap,WA,Truck,1,0,1,53695,53696,0.00
September 30 2017,Lewis,WA,Truck,0,0,0,25120,25120,0.00
January 31 2020,Lake,CA,Passenger,0,1,1,11,12,8.33
June 30 2022,Lake,FL,Passenger,1,0,1,21,22,4.55
February 28 2023,Allegheny,PA,Passenger,2,0,2,64,66,3.03
November 30 2020,Mercer,NJ,Passenger,0,1,1,13,14,7.14
December 31 2019,Putnam,TN,Passenger,0,1,1,3,4,25.00
July 31 2018,Dallas,TX,Passenger,0,1,1,201,202,0.50
December 31 2022,Leavenworth,KS,Passenger,0,1,1,88,89,1.12
March 31 2018,Wahkiakum,WA,Truck,0,0,0,1668,1668,0.00
